name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Sparkasse Schwarzwald-Baar,Germany,DE,Villingen-Schwenningen,,48.063152,8.4929618,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Waiblingen,Germany,DE,Waiblingen,,48.8325659,9.3163822,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Hochrhein,Germany,DE,Waldshut-Tiengen,,47.6281754,8.2408579,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Müritz-Sparkasse,Germany,DE,Waren (Müritz),,53.5156249,12.6850606,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Oberpfalz Nord,Germany,DE,Weiden in der Oberpfalz,,49.6752749,12.1631636,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Nassauische Sparkasse,Germany,DE,Wiesbaden,,50.0820384,8.2416556,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Mecklenburg-Nordwest,Germany,DE,Wismar,,53.8909832,11.4647932,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadtsparkasse Wuppertal,Germany,DE,Wuppertal,,51.264018,7.1780374,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Mainfranken Würzburg,Germany,DE,Würzburg,,49.7933723,9.9309779,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Burgenlandkreis,Germany,DE,Zeitz,,51.0491637,12.1349991,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
